id;title;authors;date;description
9310201;'Generalized Measures in Gauge Theory';'John C. Baez';'Sun, 31 Oct 93 12:09:33 GMT   (10kb)';'   Let P -> M be a principal G-bundle. Using techniques from the loop representation of gauge theory, we construct well-defined substitutes for ``Lebesgue measure'' on the space A of connections on P and for ``Haar measure'' on the group Ga of gauge transformations. More precisely, we define algebras of ``cylinder functions'' on the spaces A, Ga, and A/Ga, and define generalized measures on these spaces as continuous linear functionals on the corresponding algebras. Borrowing some ideas from lattice gauge theory, we characterize generalized measures on A, Ga, and A/Ga in terms of graphs embedded in M. We use this characterization to construct generalized measures on A and Ga, respectively. The ``uniform'' generalized measure on A is invariant under the group of automorphisms of P. It projects down to the generalized measure on A/Ga considered by Ashtekar and Lewandowski in the case G = SU(n). The ``generalized Haar measure'' on Ga is right- and left-invariant as well as Aut(P)-invariant. We show that averaging any generalized measure on A against generalized Haar measure gives a gauge-invariant generalized measure on A. '
9310202;'String Propagation in Gravitational Wave Backgrounds';'E. Kiritsis and C. Kounnas';'Sun, 31 Oct 93 21:43:30 +0100   (13kb)';'   The Conformal Field Theory of the current algebra of the centrally extended 2-d Euclidean group is analyzed. Its representations can be written in terms of four free fields (without background charge) with signature ($-$+++). We construct all irreducible representations of the current algebra with unitary base out of the free fields and their orbifolds. This is used to investigate the spectrum and scattering of strings moving in the background of a gravitational wave. We find that all the dynamics happens in the transverse space or the longitunal one but not both. '
9312201;'On Nonlinear Superconformal Algebras With N > 4';'Z. Khviengia and E. Sezgin';'Tue, 28 Dec 1993 15:24:05 CST   (11kb)';'   We discuss the structure, realizations and quantum BRST operators of a class of nonlinear superconformal algebras with N > 4. '
9312202;'The Perturbative Calculation of the Spin-Spin Correlation Function in';'B. Mikhak and A.M. Zarkesh';'Tue, 28 Dec 93 15:17:32 PST   (8kb)';'   Using the variational formula for operator product coefficients a method for perturbative calculation of the short-distance expansion of the Spin-Spin correlation function in the two dimensional Ising model is presented. Results of explicit calculation up to third order agree with known results from the scaling limit of the lattice calculation. '
9312203;'On Projective Gravity and the vanishing of the Cosmological Constant';'C. Gasparakis';'Tue, 28 Dec 1993 23:08:30 -0500 (EST)   (11kb)';'   We generalize Einstein's Lagrangian in a non-polynomial (in R) way. The usual Lagrangian (linear in R) is the zero $\alpha'$ limit of our theory, where $\alpha'$ is a parameter that is interpreted as the inverse cosmological costant before the Planck time. The theory space of this lagrangian admits a ${\bf Z_{2}}$ modular group, namely $R \leftrightarrow 1/R$. Independence of the modular invariant expectation values from the number of `Big Bangs' enforces a quantization condition for the cosmological constant. At the semiclassical approximation we obtain $\Lambda =0$, and a vacuum equation which is equivalent to inflation cosmology. D=4 and D=1 universes are obtained as unique (and topologically separated by the D=2 semiclassical barrier) integer dimension solutions. They correspond to the first excited level and the ground state respectively of our projective gravity. '
9312204;'Abelian Chern-Simons field theory and anyon equation on a torus';'Kyung-Hyun Cho and Chaiho Rim';'Wed, 29 Dec 93 13:14:49 -0800   (15kb)';'   We quantize the abelian Chern-Simons theory coupled to non-relativistic matter field on a torus without invoking the flux quantization. Through a series of canonical transformations which is equivalent to solving the Gauss constraint, we obtain an effective hamiltonian density with periodic matter field. We also obtain the many-anyon Schr\"odinger equation with periodic Aharonov-Bohm potentials and analyze the periodic property of the wavefunction. Some comments are given on the different features of our approach from the previous ones. '
9312205;'q-def oscillator associated with Calogero model and its q-coherent state';'K.H.Cho, Chaiho Rim, D.S.Soh, S.U. Park';'Wed, 29 Dec 93 16:03:00 -0800   (11kb)';'   We present the q-deformed ^M para-bose oscillators associated with (two-body) Calogero model.^M q-deformed coherent state is also constructed and its resolution of unity ^M is demonstrated. '
9312206;'Renormalization of gauge invariant operators and anomalies in Yang-Mills';'G. Barnich and M. Henneaux';'Wed, 29 Dec 93 12:25:22 MET   (9kb)';'   A long-standing conjecture on the structure of renormalized, gauge invariant, integrated operators of arbitrary dimension in Yang-Mills theory is established. The general solution of the consistency condition for anomalies with sources included is also derived. This is achieved by computing explicitely the cohomology of the full unrestricted BRST operator in the space of local polynomial functionals with ghost number equal to zero or one. The argument does not use power counting and is purely cohomological. It relies crucially on standard properties of the antifield formalism. '
9312207;'Manifestly Finite Perturbation Theory for the Short-Distance Expansion';'B. Mikhak and A.M. Zarkesh';'Wed, 29 Dec 93 13:38:38 PST   (41kb)';'   In the spirit of classic works of Wilson on the renormalization group and operator product expansion, a new framework for the study of the theory space of euclidean quantum field theories has been introduced. This formalism is particularly useful for elucidating the structure of the short-distance expansions of the $n$-point functions of a renormalizable quantum field theory near a non-trivial fixed point. We review and apply this formalism in the study of the scaling limit of the two dimensional massive Ising model. Renormalization group analysis and operator product expansions determine all the non-analytic mass dependence of the short-distance expansion of the correlation functions. An extension of the first order variational formula to higher orders provides a manifestly finite scheme for the perturbative calculation of the operator product coefficients to any order in parameters. A perturbative expansion of the correlation functions follows. We implement this scheme for a systematic study of correlation functions involving two spin operators. We show how the necessary non-trivial integrals can be calculated. As two concrete examples we explicitly calculate the short-distance expansion of the spin-spin correlation function to third order and the spin-spin-energy density correlation function to first order in the mass. We also discuss the applicability of our results to perturbations near other non-trivial fixed points corresponding to other unitary minimal models. '
9312208;'Eigensystem and Full Character Formula of the W_{1+infinity} Algebra';'H. Awata, M. Fukuma, S. Odake and Y.-H. Quano';'Thu, 30 Dec 1993 17:13:41 +0900   (10kb)';'   By using the free field realizations, we analyze the representation theory of the W_{1+infinity} algebra with c=1. The eigenvectors for the Cartan subalgebra of W_{1+infinity} are parametrized by the Young diagrams, and explicitly written down by W_{1+infinity} generators. Moreover, their eigenvalues and full character formula are also obtained. '
9312209;'On Dubrovin Topological Field Theories';'J.-B. Zuber';'30 Dec 93 11:50:06+0100   (15kb)';'   I show that the new topological field theories recently associated by Dubrovin with each Coxeter group may be all obtained in a simple way by a ``restriction'' of the standard ADE solutions. I then study the Chebichev specializations of these topological algebras, examine how the Coxeter graphs and matrices reappear in the dual algebra and mention the intriguing connection with the operator product algebra of conformal field theories. A direct understanding of the occurrence of Coxeter groups in that context is highly desirable. '
